Protein.ID;Gene;ADSCs_c_111 MaxLFQ Intensity;ADSCs_c_1531 MaxLFQ Intensity;ADSCs_c_38 MaxLFQ Intensity;ADSCs_c_45 MaxLFQ Intensity;ADSCs_d_111 MaxLFQ Intensity;ADSCs_d_1531 MaxLFQ Intensity;ADSCs_d_38 MaxLFQ Intensity;ADSCs_d_45 MaxLFQ Intensity
NUD4B_HUMAN;NUDT4B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GAL3B_HUMAN;GATD3B;77811.28;69739.555;64800.92;81650.01;90388.586;101023.96;120129.48;112216.6
H2BK1_HUMAN;H2BK1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UBA6_HUMAN;UBA6;66513.44;80326.695;85946.55;81939.36;64562.117;85146.07;89793.85;66412.414
RHG10_HUMAN;ARHGAP10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HACL2_HUMAN;ILVBL;89289.49;99027.805;102505.56;89594.086;94050.62;99937.76;104743.8;80596.914
SPD2B_HUMAN;SH3PXD2B;0.0;25208.748;31371.533;0.0;31705.527;42994.85;44616.26;42003.574
NBAS_HUMAN;NBAS;42394.99;49306.797;47520.816;45263.047;42217.04;53575.65;52896.9;0.0
SYTC2_HUMAN;TARS3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VWA8_HUMAN;VWA8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GTPBA_HUMAN;GTPBP10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RAB19_HUMAN;RAB19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CTGE9_HUMAN;CTAGE9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP37C_HUMAN;VPS37C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CNOT1_HUMAN;CNOT1;47181.574;52241.883;44716.895;75690.54;49195.07;49084.71;54296.973;0.0
MP3B2_HUMAN;MAP1LC3B2;116564.69;101426.71;82799.62;108258.875;100795.13;0.0;0.0;94590.16
PGP_HUMAN;PGP;0.0;0.0;0.0;0.0;47804.76;47053.117;62474.258;50876.957
RIMC1_HUMAN;RIMOC1;30099.902;26362.264;29934.088;20912.732;26185.338;23426.209;0.0;28428.621
TCAF2_HUMAN;TCAF2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SMHD1_HUMAN;SMCHD1;0.0;0.0;154707.0;0.0;219643.36;0.0;291080.75;0.0
CAST2_HUMAN;CASTOR2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UBP27_HUMAN;USP27X;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RTL8C_HUMAN;RTL8C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BBIP1_HUMAN;BBIP1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NUD19_HUMAN;NUDT19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MI4GD_HUMAN;MIF4GD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIFCL_HUMAN;EIF3CL;110918.22;102043.695;109669.18;94889.43;96692.15;66760.33;62700.6;0.0
GPHRA_HUMAN;GPR89A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MCRI1_HUMAN;MCRIP1;268675.28;249025.64;0.0;0.0;0.0;0.0;0.0;0.0
NACAM_HUMAN;NACA;227630.62;221286.34;213164.75;181419.9;211958.69;263532.34;185534.56;238848.14
CK098_HUMAN;C11orf98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
S35U4_HUMAN;SLC35A4;0.0;0.0;0.0;0.0;0.0;25593.674;0.0;0.0
OVOL3_HUMAN;OVOL3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNS2A_HUMAN;DNASE2;0.0;0.0;23578.986;30541.094;21242.566;0.0;0.0;0.0
ADAS_HUMAN;AGPS;38040.22;35315.72;38358.117;32943.2;33164.52;36034.836;36692.152;37757.332
KITM_HUMAN;TK2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DX39A_HUMAN;DDX39A;0.0;0.0;17050.193;23007.416;26038.139;39127.098;29683.615;0.0
PDLI1_HUMAN;PDLIM1;102758.54;68477.19;69707.414;51033.66;129901.99;75348.52;125797.73;111608.92
BACH_HUMAN;ACOT7;87783.68;87305.61;79654.47;90912.76;90960.44;112609.15;109365.414;104176.164
MYO1C_HUMAN;MYO1C;157226.64;216070.66;231825.02;141040.4;164835.11;203610.98;224003.39;142577.67
SNP23_HUMAN;SNAP23;51480.78;0.0;65851.73;32754.008;45968.14;76209.52;0.0;0.0
AIP_HUMAN;AIP;32264.705;35454.52;24608.184;27918.37;28534.857;24251.596;27282.242;29203.057
