Protein.ID;Gene;DPSCs_c_12 MaxLFQ Intensity;DPSCs_c_16 MaxLFQ Intensity;DPSCs_c_23 MaxLFQ Intensity;DPSCs_c_38 MaxLFQ Intensity;DPSCs_d_12 MaxLFQ Intensity;DPSCs_d_16 MaxLFQ Intensity;DPSCs_d_23 MaxLFQ Intensity;DPSCs_d_38 MaxLFQ Intensity
NUD4B_HUMAN;NUDT4B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GAL3B_HUMAN;GATD3B;95810.586;115259.88;91778.23;80937.8;134612.36;163414.28;83709.6;80227.77
H2BK1_HUMAN;H2BK1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UBA6_HUMAN;UBA6;132101.78;119865.51;118705.15;118975.164;91749.73;99954.56;49332.66;137550.6
RHG10_HUMAN;ARHGAP10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HACL2_HUMAN;ILVBL;156145.3;128124.91;115046.125;166413.97;120823.11;139931.17;55494.023;156480.34
SPD2B_HUMAN;SH3PXD2B;0.0;0.0;0.0;0.0;45865.523;0.0;0.0;41664.63
NBAS_HUMAN;NBAS;55864.09;70906.83;47994.906;68202.6;45892.094;47940.81;0.0;68809.445
SYTC2_HUMAN;TARS3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VWA8_HUMAN;VWA8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GTPBA_HUMAN;GTPBP10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RAB19_HUMAN;RAB19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CTGE9_HUMAN;CTAGE9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP37C_HUMAN;VPS37C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CNOT1_HUMAN;CNOT1;0.0;0.0;0.0;31396.457;0.0;0.0;0.0;0.0
MP3B2_HUMAN;MAP1LC3B2;135277.98;153710.77;154243.25;81250.414;0.0;176302.77;192337.27;0.0
PGP_HUMAN;PGP;51964.777;0.0;56118.652;35196.89;0.0;80443.65;0.0;77980.09
RIMC1_HUMAN;RIMOC1;41152.883;43931.805;39241.9;31663.75;0.0;52847.277;25564.523;45985.145
TCAF2_HUMAN;TCAF2;0.0;310644.2;0.0;0.0;0.0;0.0;0.0;0.0
SMHD1_HUMAN;SMCHD1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CAST2_HUMAN;CASTOR2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UBP27_HUMAN;USP27X;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RTL8C_HUMAN;RTL8C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BBIP1_HUMAN;BBIP1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NUD19_HUMAN;NUDT19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MI4GD_HUMAN;MIF4GD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIFCL_HUMAN;EIF3CL;112406.78;111577.22;109973.414;104861.12;99059.25;131666.9;127461.73;101948.04
GPHRA_HUMAN;GPR89A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MCRI1_HUMAN;MCRIP1;44831.883;0.0;75639.04;0.0;0.0;0.0;248034.28;0.0
NACAM_HUMAN;NACA;103611.95;91371.836;181697.23;105399.51;141713.08;129470.78;260771.78;144093.67
CK098_HUMAN;C11orf98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
S35U4_HUMAN;SLC35A4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OVOL3_HUMAN;OVOL3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNS2A_HUMAN;DNASE2;0.0;0.0;0.0;0.0;22591.818;0.0;0.0;0.0
ADAS_HUMAN;AGPS;52404.734;41457.74;37995.77;48029.95;30099.896;38200.91;58659.695;41891.473
KITM_HUMAN;TK2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DX39A_HUMAN;DDX39A;0.0;0.0;0.0;0.0;22744.785;0.0;0.0;0.0
PDLI1_HUMAN;PDLIM1;108895.69;167817.81;152307.86;163894.48;155106.97;170312.5;211393.44;127769.18
BACH_HUMAN;ACOT7;118225.164;118954.74;112471.445;88308.9;105604.945;138954.66;116306.76;99896.95
MYO1C_HUMAN;MYO1C;204003.1;164299.84;168995.78;184650.44;178430.2;142863.86;110490.5;168223.75
SNP23_HUMAN;SNAP23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AIP_HUMAN;AIP;42409.84;41682.863;40592.004;31174.195;40366.445;34619.195;35025.516;27588.176
GTPB1_HUMAN;GTPBP1;63794.57;0.0;0.0;50984.9;0.0;0.0;0.0;35609.125
