Protein.ID;Gene;GF_c_1 MaxLFQ Intensity;GF_c_27 MaxLFQ Intensity;GF_c_31 MaxLFQ Intensity;GF_d_1 MaxLFQ Intensity;GF_d_27 MaxLFQ Intensity;GF_d_31 MaxLFQ Intensity
NUD4B_HUMAN;NUDT4B;0.0;0.0;0.0;0.0;0.0;0.0
GAL3B_HUMAN;GATD3B;67069.06;90222.49;62089.54;71981.64;121148.44;74836.086
H2BK1_HUMAN;H2BK1;0.0;0.0;0.0;0.0;0.0;0.0
UBA6_HUMAN;UBA6;63011.86;104896.81;68335.67;102928.65;77681.945;85102.04
RHG10_HUMAN;ARHGAP10;0.0;0.0;0.0;0.0;0.0;0.0
HACL2_HUMAN;ILVBL;123325.87;141772.83;118387.195;144953.16;133558.08;138193.45
SPD2B_HUMAN;SH3PXD2B;35220.043;26522.877;0.0;35620.156;0.0;0.0
NBAS_HUMAN;NBAS;40786.586;50382.19;37221.996;41473.445;0.0;45671.55
SYTC2_HUMAN;TARS3;0.0;0.0;0.0;0.0;0.0;0.0
VWA8_HUMAN;VWA8;0.0;0.0;0.0;0.0;0.0;0.0
GTPBA_HUMAN;GTPBP10;0.0;0.0;0.0;0.0;0.0;0.0
RAB19_HUMAN;RAB19;0.0;0.0;0.0;0.0;0.0;0.0
CTGE9_HUMAN;CTAGE9;0.0;0.0;0.0;0.0;0.0;0.0
VP37C_HUMAN;VPS37C;0.0;0.0;0.0;0.0;0.0;0.0
CNOT1_HUMAN;CNOT1;0.0;38032.844;0.0;48839.742;0.0;0.0
MP3B2_HUMAN;MAP1LC3B2;166338.38;173908.27;217605.25;132918.14;129927.91;121490.625
PGP_HUMAN;PGP;49086.957;36697.758;0.0;45479.883;68598.07;53696.75
RIMC1_HUMAN;RIMOC1;28222.5;28917.027;22387.387;33514.73;33377.92;31138.594
TCAF2_HUMAN;TCAF2;0.0;0.0;0.0;0.0;0.0;0.0
SMHD1_HUMAN;SMCHD1;0.0;151223.75;0.0;208915.8;0.0;0.0
CAST2_HUMAN;CASTOR2;0.0;0.0;0.0;0.0;0.0;0.0
UBP27_HUMAN;USP27X;0.0;0.0;0.0;0.0;0.0;0.0
RTL8C_HUMAN;RTL8C;0.0;0.0;0.0;0.0;0.0;0.0
BBIP1_HUMAN;BBIP1;0.0;0.0;0.0;0.0;0.0;0.0
NUD19_HUMAN;NUDT19;0.0;13932.72;0.0;19834.922;0.0;0.0
MI4GD_HUMAN;MIF4GD;0.0;0.0;0.0;0.0;0.0;0.0
EIFCL_HUMAN;EIF3CL;113774.4;126323.625;86544.62;68004.17;104879.87;44733.727
GPHRA_HUMAN;GPR89A;0.0;0.0;0.0;0.0;0.0;0.0
MCRI1_HUMAN;MCRIP1;0.0;117361.56;155154.95;0.0;0.0;0.0
NACAM_HUMAN;NACA;153043.98;229729.86;293352.53;98674.0;179566.39;180041.16
CK098_HUMAN;C11orf98;0.0;0.0;0.0;0.0;0.0;0.0
S35U4_HUMAN;SLC35A4;0.0;0.0;0.0;0.0;0.0;0.0
OVOL3_HUMAN;OVOL3;0.0;0.0;0.0;0.0;0.0;0.0
DNS2A_HUMAN;DNASE2;48288.79;19902.076;0.0;0.0;0.0;0.0
ADAS_HUMAN;AGPS;39382.246;39963.69;38575.367;31371.057;33559.31;37277.36
KITM_HUMAN;TK2;0.0;0.0;0.0;0.0;0.0;0.0
DX39A_HUMAN;DDX39A;0.0;35238.69;39407.23;23957.465;0.0;0.0
PDLI1_HUMAN;PDLIM1;163545.14;172728.48;264161.16;135692.77;200600.83;204180.11
BACH_HUMAN;ACOT7;110178.805;138371.19;95977.9;169015.69;133466.28;142560.02
MYO1C_HUMAN;MYO1C;226819.88;182211.73;160548.83;211810.8;138637.08;181814.31
SNP23_HUMAN;SNAP23;77128.23;66742.28;86159.52;60670.38;0.0;0.0
AIP_HUMAN;AIP;36531.54;25675.08;37853.684;27979.336;47688.59;27221.992
GTPB1_HUMAN;GTPBP1;0.0;23874.193;0.0;29003.371;0.0;0.0
STXB3_HUMAN;STXBP3;49610.36;49716.734;39729.043;53518.297;0.0;43021.703
ARVC_HUMAN;ARVCF;0.0;0.0;0.0;0.0;0.0;0.0
SMAP_HUMAN;SMAP;0.0;64105.156;0.0;0.0;0.0;0.0
RB27B_HUMAN;RAB27B;0.0;18112.219;0.0;0.0;31899.959;0.0
AP3B1_HUMAN;AP3B1;55323.73;47755.027;40085.63;37463.895;61732.71;0.0
LEG8_HUMAN;LGALS8;0.0;0.0;0.0;0.0;0.0;0.0
NDUS8_HUMAN;NDUFS8;58948.305;65689.02;91374.26;56889.395;73512.24;69716.984
PSD11_HUMAN;PSMD11;190537.88;186448.5;179662.44;156274.22;195662.45;190715.0
PSD12_HUMAN;PSMD12;142489.06;162125.81;137279.8;173818.64;142150.47;159726.66
PSMD9_HUMAN;PSMD9;77707.67;84075.41;98475.96;58759.23;106427.0;60974.11
ATOX1_HUMAN;ATOX1;112176.19;178194.95;161354.78;133720.88;189973.77;125719.484
