Protein.ID;Gene;Ost_c_11 MaxLFQ Intensity;Ost_c_12 MaxLFQ Intensity;Ost_c_20 MaxLFQ Intensity;Ost_c_22 MaxLFQ Intensity;Ost_d_11 MaxLFQ Intensity;Ost_d_12 MaxLFQ Intensity;Ost_d_20 MaxLFQ Intensity;Ost_d_22 MaxLFQ Intensity
NUD4B_HUMAN;NUDT4B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GAL3B_HUMAN;GATD3B;108844.42;94618.88;81055.74;85322.2;74296.67;113051.65;54793.395;117360.875
H2BK1_HUMAN;H2BK1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UBA6_HUMAN;UBA6;87262.81;76942.62;59106.453;84663.125;60249.08;71744.08;82150.03;85274.984
RHG10_HUMAN;ARHGAP10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HACL2_HUMAN;ILVBL;131254.78;124854.59;108503.09;119116.77;98489.83;119389.516;129113.73;120307.98
SPD2B_HUMAN;SH3PXD2B;0.0;0.0;0.0;36319.777;0.0;44674.105;0.0;47734.387
NBAS_HUMAN;NBAS;0.0;0.0;0.0;46216.6;0.0;29470.732;62066.473;39425.59
SYTC2_HUMAN;TARS3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VWA8_HUMAN;VWA8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GTPBA_HUMAN;GTPBP10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RAB19_HUMAN;RAB19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CTGE9_HUMAN;CTAGE9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP37C_HUMAN;VPS37C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CNOT1_HUMAN;CNOT1;0.0;43196.188;40687.1;46664.156;0.0;41634.176;51427.934;0.0
MP3B2_HUMAN;MAP1LC3B2;146726.86;105576.984;181739.73;172955.48;145222.28;0.0;146649.58;122836.0
PGP_HUMAN;PGP;0.0;0.0;0.0;33264.395;57483.25;46681.703;51609.754;20205.43
RIMC1_HUMAN;RIMOC1;0.0;29190.844;24883.09;17068.7;0.0;0.0;20100.338;0.0
TCAF2_HUMAN;TCAF2;0.0;227798.92;0.0;0.0;0.0;0.0;0.0;0.0
SMHD1_HUMAN;SMCHD1;0.0;0.0;0.0;144593.44;0.0;0.0;0.0;0.0
CAST2_HUMAN;CASTOR2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UBP27_HUMAN;USP27X;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RTL8C_HUMAN;RTL8C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BBIP1_HUMAN;BBIP1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NUD19_HUMAN;NUDT19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MI4GD_HUMAN;MIF4GD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
