Protein.ID;Gene;PDLSCs_c_12 MaxLFQ Intensity;PDLSCs_c_16 MaxLFQ Intensity;PDLSCs_c_38 MaxLFQ Intensity;PDLSCs_d_12 MaxLFQ Intensity;PDLSCs_d_16 MaxLFQ Intensity;PDLSCs_d_38 MaxLFQ Intensity
NUD4B_HUMAN;NUDT4B;0.0;0.0;0.0;0.0;0.0;0.0
GAL3B_HUMAN;GATD3B;84938.02;63615.016;74567.9;168469.66;125423.0;90858.734
H2BK1_HUMAN;H2BK1;0.0;0.0;0.0;0.0;0.0;0.0
UBA6_HUMAN;UBA6;85984.98;102328.17;85445.53;84244.58;101395.76;109123.695
RHG10_HUMAN;ARHGAP10;0.0;0.0;0.0;0.0;0.0;0.0
HACL2_HUMAN;ILVBL;115037.44;117907.0;116909.94;115434.7;125506.59;121789.64
SPD2B_HUMAN;SH3PXD2B;0.0;26652.72;0.0;56228.168;56688.26;41906.668
NBAS_HUMAN;NBAS;0.0;47027.887;0.0;0.0;38703.066;45202.504
SYTC2_HUMAN;TARS3;0.0;0.0;0.0;0.0;0.0;0.0
VWA8_HUMAN;VWA8;0.0;0.0;0.0;0.0;0.0;0.0
GTPBA_HUMAN;GTPBP10;0.0;0.0;0.0;0.0;0.0;0.0
RAB19_HUMAN;RAB19;0.0;0.0;0.0;0.0;0.0;0.0
CTGE9_HUMAN;CTAGE9;0.0;0.0;0.0;0.0;0.0;0.0
VP37C_HUMAN;VPS37C;0.0;0.0;0.0;0.0;0.0;0.0
CNOT1_HUMAN;CNOT1;0.0;42953.71;48913.008;0.0;0.0;0.0
MP3B2_HUMAN;MAP1LC3B2;200325.6;146770.8;186165.11;104437.66;133938.77;148774.17
PGP_HUMAN;PGP;46460.66;57762.86;0.0;0.0;53523.87;47273.434
RIMC1_HUMAN;RIMOC1;28273.49;23129.838;32032.605;0.0;0.0;32614.404
TCAF2_HUMAN;TCAF2;137716.8;0.0;0.0;0.0;0.0;0.0
SMHD1_HUMAN;SMCHD1;0.0;180149.55;0.0;0.0;0.0;0.0
CAST2_HUMAN;CASTOR2;0.0;0.0;0.0;0.0;0.0;0.0
UBP27_HUMAN;USP27X;0.0;0.0;0.0;0.0;0.0;0.0
RTL8C_HUMAN;RTL8C;0.0;0.0;0.0;0.0;0.0;0.0
BBIP1_HUMAN;BBIP1;0.0;0.0;0.0;0.0;0.0;0.0
NUD19_HUMAN;NUDT19;0.0;0.0;0.0;0.0;0.0;0.0
MI4GD_HUMAN;MIF4GD;0.0;0.0;0.0;0.0;0.0;0.0
EIFCL_HUMAN;EIF3CL;116014.93;125031.58;141946.45;149329.2;111445.586;109530.664
GPHRA_HUMAN;GPR89A;0.0;0.0;0.0;0.0;0.0;0.0
MCRI1_HUMAN;MCRIP1;205670.22;229130.19;50002.375;213763.47;199068.72;174690.9
