Protein.ID;Gene;WJ_c_1002 MaxLFQ Intensity;WJ_c_1062 MaxLFQ Intensity;WJ_c_11 MaxLFQ Intensity;WJ_c_203 MaxLFQ Intensity;WJ_d_1002 MaxLFQ Intensity;WJ_d_1062 MaxLFQ Intensity;WJ_d_11 MaxLFQ Intensity;WJ_d_203 MaxLFQ Intensity
NUD4B_HUMAN;NUDT4B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GAL3B_HUMAN;GATD3B;68087.695;59793.285;54655.824;62778.312;67449.32;78848.53;55879.062;73891.87
H2BK1_HUMAN;H2BK1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UBA6_HUMAN;UBA6;59863.67;82270.57;72816.81;78911.516;67662.64;66452.04;58615.527;93293.234
RHG10_HUMAN;ARHGAP10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HACL2_HUMAN;ILVBL;101406.87;74929.32;85047.336;91232.516;109865.04;98837.26;101240.88;127838.875
SPD2B_HUMAN;SH3PXD2B;0.0;0.0;0.0;0.0;41264.85;0.0;0.0;36117.246
NBAS_HUMAN;NBAS;0.0;0.0;0.0;46873.23;47224.46;41438.324;40418.55;52645.246
SYTC2_HUMAN;TARS3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VWA8_HUMAN;VWA8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GTPBA_HUMAN;GTPBP10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RAB19_HUMAN;RAB19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CTGE9_HUMAN;CTAGE9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP37C_HUMAN;VPS37C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CNOT1_HUMAN;CNOT1;0.0;53201.71;50471.17;74082.125;0.0;91040.445;0.0;0.0
