Protein.ID;Gene;Ad_c_111 MaxLFQ Intensity;Ad_c_138 MaxLFQ Intensity;Ad_c_31 MaxLFQ Intensity;Ad_c_45 MaxLFQ Intensity;Ad_dif_111 MaxLFQ Intensity;Ad_dif_138 MaxLFQ Intensity;Ad_dif_31 MaxLFQ Intensity;Ad_dif_45 MaxLFQ Intensity
KV37_HUMAN;IGKV3-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
KV228_HUMAN;IGKV2-28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
KVD11_HUMAN;IGKV3D-11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GAL3B_HUMAN;GATD3B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SRCRL_HUMAN;SSC5D;82418.484;0.0;0.0;0.0;106911.38;0.0;59466.668;0.0
SPD2B_HUMAN;SH3PXD2B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP37C_HUMAN;VPS37C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MP3B2_HUMAN;MAP1LC3B2;0.0;0.0;0.0;0.0;0.0;0.0;43673.992;0.0
PGP_HUMAN;PGP;0.0;0.0;0.0;0.0;0.0;45868.184;44167.176;45402.82
CAST2_HUMAN;CASTOR2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
WASH1_HUMAN;WASHC1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RUXGL_HUMAN;SNRPGP15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ISM1_HUMAN;ISM1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HNRC2_HUMAN;HNRNPCL2;0.0;0.0;0.0;0.0;0.0;101994.01;0.0;0.0
EIFCL_HUMAN;EIF3CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IGLL5_HUMAN;IGLL5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NACAM_HUMAN;NACA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNS2A_HUMAN;DNASE2;72852.21;63414.01;0.0;72835.51;0.0;98199.05;93450.41;105035.13
DX39A_HUMAN;DDX39A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PDLI1_HUMAN;PDLIM1;0.0;0.0;0.0;0.0;0.0;95200.09;60559.93;77247.09
BACH_HUMAN;ACOT7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MYO1C_HUMAN;MYO1C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SNP23_HUMAN;SNAP23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AIP_HUMAN;AIP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STXB3_HUMAN;STXBP3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AP3B1_HUMAN;AP3B1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LEG8_HUMAN;LGALS8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSD11_HUMAN;PSMD11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSD12_HUMAN;PSMD12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSMD9_HUMAN;PSMD9;0.0;0.0;0.0;0.0;0.0;67205.695;75140.555;73043.02
ATOX1_HUMAN;ATOX1;0.0;0.0;0.0;0.0;121297.305;186142.34;132182.3;159823.12
PGRC1_HUMAN;PGRMC1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DFFA_HUMAN;DFFA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HIP1_HUMAN;HIP1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CLIC1_HUMAN;CLIC1;0.0;0.0;180878.06;0.0;0.0;131309.16;174895.17;106055.75
TR11B_HUMAN;TNFRSF11B;0.0;0.0;0.0;0.0;92802.375;64423.137;55242.74;114644.836
EIF3F_HUMAN;EIF3F;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MATN2_HUMAN;MATN2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
QSOX1_HUMAN;QSOX1;423519.9;155191.16;144186.7;279252.34;668055.56;183745.17;315112.22;217761.75
IPO5_HUMAN;IPO5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SAP18_HUMAN;SAP18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EMAL1_HUMAN;EML1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IF2B3_HUMAN;IGF2BP3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNM1L_HUMAN;DNM1L;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RTCA_HUMAN;RTCA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GOLI4_HUMAN;GOLIM4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANBA_HUMAN;MANBA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AGRIN_HUMAN;AGRN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HMGN4_HUMAN;HMGN4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSDE_HUMAN;PSMD14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BIN1_HUMAN;BIN1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IMA4_HUMAN;KPNA3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VMA5A_HUMAN;VWA5A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SDCB1_HUMAN;SDCBP;135608.75;95232.88;176154.64;110188.375;94534.336;96321.54;107067.734;120272.09
MPP10_HUMAN;MPHOSPH10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DDX3X_HUMAN;DDX3X;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
