Protein.ID;Gene;DPSCs_c_12 MaxLFQ Intensity;DPSCs_c_16 MaxLFQ Intensity;DPSCs_c_23 MaxLFQ Intensity;DPSCs_c_38 MaxLFQ Intensity;DPSCs_d_12 MaxLFQ Intensity;DPSCs_d_16 MaxLFQ Intensity;DPSCs_d_23 MaxLFQ Intensity;DPSCs_d_38 MaxLFQ Intensity
KV37_HUMAN;IGKV3-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
KV228_HUMAN;IGKV2-28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
KVD11_HUMAN;IGKV3D-11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GAL3B_HUMAN;GATD3B;0.0;0.0;39140.137;0.0;0.0;0.0;0.0;0.0
SRCRL_HUMAN;SSC5D;167564.7;108724.58;59108.992;126165.125;245017.17;0.0;0.0;94524.07
SPD2B_HUMAN;SH3PXD2B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP37C_HUMAN;VPS37C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MP3B2_HUMAN;MAP1LC3B2;0.0;0.0;149798.6;0.0;0.0;0.0;0.0;0.0
PGP_HUMAN;PGP;0.0;0.0;74246.32;0.0;0.0;0.0;0.0;0.0
CAST2_HUMAN;CASTOR2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
WASH1_HUMAN;WASHC1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RUXGL_HUMAN;SNRPGP15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ISM1_HUMAN;ISM1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HNRC2_HUMAN;HNRNPCL2;220211.7;48783.484;223667.42;0.0;0.0;0.0;0.0;0.0
EIFCL_HUMAN;EIF3CL;52806.418;0.0;51612.516;0.0;0.0;0.0;0.0;0.0
IGLL5_HUMAN;IGLL5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NACAM_HUMAN;NACA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNS2A_HUMAN;DNASE2;355190.97;556388.3;374169.66;329662.97;343559.3;559265.56;553954.0;361927.66
DX39A_HUMAN;DDX39A;108539.17;0.0;119868.13;0.0;0.0;0.0;0.0;0.0
PDLI1_HUMAN;PDLIM1;102932.67;77429.28;132357.7;70202.37;0.0;93100.586;84368.766;68062.1
BACH_HUMAN;ACOT7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MYO1C_HUMAN;MYO1C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SNP23_HUMAN;SNAP23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AIP_HUMAN;AIP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STXB3_HUMAN;STXBP3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AP3B1_HUMAN;AP3B1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LEG8_HUMAN;LGALS8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSD11_HUMAN;PSMD11;127951.69;108811.375;114503.88;0.0;0.0;182460.78;0.0;0.0
PSD12_HUMAN;PSMD12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSMD9_HUMAN;PSMD9;0.0;0.0;75104.02;0.0;0.0;0.0;0.0;0.0
ATOX1_HUMAN;ATOX1;108672.66;76418.76;119230.47;0.0;0.0;104880.31;0.0;0.0
PGRC1_HUMAN;PGRMC1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DFFA_HUMAN;DFFA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HIP1_HUMAN;HIP1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CLIC1_HUMAN;CLIC1;281012.72;118439.94;240146.92;0.0;0.0;222586.83;0.0;147151.62
TR11B_HUMAN;TNFRSF11B;157886.84;94880.04;62861.04;0.0;0.0;0.0;0.0;0.0
EIF3F_HUMAN;EIF3F;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MATN2_HUMAN;MATN2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
QSOX1_HUMAN;QSOX1;2912786.8;2233732.8;1617666.2;662948.2;1217415.9;1714793.1;1710559.5;646396.1
IPO5_HUMAN;IPO5;62874.82;0.0;59583.68;0.0;0.0;0.0;0.0;46546.266
SAP18_HUMAN;SAP18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EMAL1_HUMAN;EML1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IF2B3_HUMAN;IGF2BP3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNM1L_HUMAN;DNM1L;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RTCA_HUMAN;RTCA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GOLI4_HUMAN;GOLIM4;0.0;114689.26;78213.945;0.0;0.0;60401.89;0.0;0.0
MANBA_HUMAN;MANBA;154216.25;235339.16;186098.53;130370.27;257910.56;292505.2;251897.84;168642.89
AGRIN_HUMAN;AGRN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HMGN4_HUMAN;HMGN4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSDE_HUMAN;PSMD14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BIN1_HUMAN;BIN1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IMA4_HUMAN;KPNA3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VMA5A_HUMAN;VWA5A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SDCB1_HUMAN;SDCBP;284416.4;282396.56;396668.16;163445.7;0.0;149826.77;111193.77;92810.73
MPP10_HUMAN;MPHOSPH10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
