Protein.ID,Gene,GF_c_1 MaxLFQ Intensity,GF_c_27 MaxLFQ Intensity,GF_c_31 MaxLFQ Intensity,GF_d_1 MaxLFQ Intensity,GF_d_27 MaxLFQ Intensity,GF_d_31 MaxLFQ Intensity
KV37_HUMAN,IGKV3-7,0.0,0.0,0.0,0.0,0.0,0.0
KV228_HUMAN,IGKV2-28,0.0,0.0,0.0,0.0,0.0,0.0
KVD11_HUMAN,IGKV3D-11,0.0,0.0,0.0,0.0,0.0,0.0
GAL3B_HUMAN,GATD3B,0.0,0.0,0.0,0.0,0.0,0.0
SRCRL_HUMAN,SSC5D,107837.82,221535.23,130432.77,0.0,391139.03,0.0
SPD2B_HUMAN,SH3PXD2B,0.0,0.0,0.0,0.0,0.0,0.0
VP37C_HUMAN,VPS37C,0.0,0.0,0.0,0.0,0.0,0.0
MP3B2_HUMAN,MAP1LC3B2,0.0,0.0,0.0,80519.16,0.0,0.0
PGP_HUMAN,PGP,0.0,0.0,0.0,38654.742,0.0,0.0
CAST2_HUMAN,CASTOR2,0.0,0.0,0.0,0.0,0.0,0.0
WASH1_HUMAN,WASHC1,0.0,0.0,0.0,0.0,0.0,0.0
RUXGL_HUMAN,SNRPGP15,0.0,0.0,0.0,0.0,0.0,0.0
ISM1_HUMAN,ISM1,0.0,0.0,0.0,0.0,0.0,0.0
HNRC2_HUMAN,HNRNPCL2,103007.21,116969.234,0.0,206869.05,0.0,0.0
EIFCL_HUMAN,EIF3CL,0.0,0.0,0.0,37707.805,73080.164,0.0
IGLL5_HUMAN,IGLL5,0.0,0.0,0.0,0.0,0.0,0.0
NACAM_HUMAN,NACA,0.0,0.0,0.0,0.0,0.0,0.0
DNS2A_HUMAN,DNASE2,653006.2,322108.88,505818.88,73272.586,319201.66,525208.6
DX39A_HUMAN,DDX39A,0.0,0.0,0.0,61975.37,0.0,0.0
PDLI1_HUMAN,PDLIM1,0.0,0.0,0.0,295836.3,105078.86,91984.34
BACH_HUMAN,ACOT7,0.0,0.0,0.0,149428.64,0.0,0.0
MYO1C_HUMAN,MYO1C,0.0,0.0,0.0,37419.34,0.0,0.0
SNP23_HUMAN,SNAP23,0.0,0.0,0.0,0.0,0.0,0.0
AIP_HUMAN,AIP,0.0,0.0,0.0,0.0,0.0,0.0
STXB3_HUMAN,STXBP3,0.0,0.0,0.0,0.0,0.0,0.0
AP3B1_HUMAN,AP3B1,0.0,0.0,0.0,0.0,0.0,0.0
LEG8_HUMAN,LGALS8,0.0,0.0,0.0,0.0,0.0,0.0
PSD11_HUMAN,PSMD11,0.0,186798.6,0.0,144947.84,0.0,0.0
PSD12_HUMAN,PSMD12,0.0,0.0,0.0,0.0,0.0,0.0
PSMD9_HUMAN,PSMD9,0.0,0.0,0.0,102202.89,0.0,0.0
