Protein.ID;Gene;Ost_c_1111 MaxLFQ Intensity;Ost_c_12 MaxLFQ Intensity;Ost_c_20 MaxLFQ Intensity;Ost_c_22 MaxLFQ Intensity;Ost_dif_1111 MaxLFQ Intensity;Ost_dif_12 MaxLFQ Intensity;Ost_dif_20 MaxLFQ Intensity;Ost_dif_22 MaxLFQ Intensity
KV37_HUMAN;IGKV3-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
KV228_HUMAN;IGKV2-28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
KVD11_HUMAN;IGKV3D-11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GAL3B_HUMAN;GATD3B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SRCRL_HUMAN;SSC5D;0.0;0.0;47612.83;63680.37;73011.664;0.0;114436.22;132014.67
SPD2B_HUMAN;SH3PXD2B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP37C_HUMAN;VPS37C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MP3B2_HUMAN;MAP1LC3B2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PGP_HUMAN;PGP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CAST2_HUMAN;CASTOR2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
WASH1_HUMAN;WASHC1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RUXGL_HUMAN;SNRPGP15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ISM1_HUMAN;ISM1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HNRC2_HUMAN;HNRNPCL2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIFCL_HUMAN;EIF3CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IGLL5_HUMAN;IGLL5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NACAM_HUMAN;NACA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNS2A_HUMAN;DNASE2;243654.9;269118.88;86120.42;124555.195;157112.25;257417.19;106036.36;127303.29
DX39A_HUMAN;DDX39A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PDLI1_HUMAN;PDLIM1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BACH_HUMAN;ACOT7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MYO1C_HUMAN;MYO1C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SNP23_HUMAN;SNAP23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AIP_HUMAN;AIP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STXB3_HUMAN;STXBP3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AP3B1_HUMAN;AP3B1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LEG8_HUMAN;LGALS8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSD11_HUMAN;PSMD11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSD12_HUMAN;PSMD12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSMD9_HUMAN;PSMD9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ATOX1_HUMAN;ATOX1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PGRC1_HUMAN;PGRMC1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DFFA_HUMAN;DFFA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HIP1_HUMAN;HIP1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CLIC1_HUMAN;CLIC1;0.0;0.0;0.0;262234.66;0.0;0.0;0.0;117690.89
TR11B_HUMAN;TNFRSF11B;0.0;0.0;79008.96;92778.25;0.0;0.0;58465.844;0.0
EIF3F_HUMAN;EIF3F;0.0;0.0;0.0;62968.87;0.0;0.0;0.0;0.0
MATN2_HUMAN;MATN2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
QSOX1_HUMAN;QSOX1;345261.47;385966.03;408840.0;799900.25;250065.33;317695.88;300211.72;352676.78
IPO5_HUMAN;IPO5;0.0;0.0;0.0;103928.336;0.0;0.0;0.0;65180.066
SAP18_HUMAN;SAP18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EMAL1_HUMAN;EML1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IF2B3_HUMAN;IGF2BP3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNM1L_HUMAN;DNM1L;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RTCA_HUMAN;RTCA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GOLI4_HUMAN;GOLIM4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANBA_HUMAN;MANBA;0.0;0.0;0.0;75962.65;0.0;0.0;0.0;0.0
AGRIN_HUMAN;AGRN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HMGN4_HUMAN;HMGN4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSDE_HUMAN;PSMD14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BIN1_HUMAN;BIN1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IMA4_HUMAN;KPNA3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VMA5A_HUMAN;VWA5A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SDCB1_HUMAN;SDCBP;0.0;0.0;172654.39;366202.22;0.0;0.0;140060.47;132724.95
MPP10_HUMAN;MPHOSPH10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DDX3X_HUMAN;DDX3X;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
