Protein.ID;Gene;PDLSCs_c_12 MaxLFQ Intensity;PDLSCs_c_16 MaxLFQ Intensity;PDLSCs_c_23 MaxLFQ Intensity;PDLSCs_c_38 MaxLFQ Intensity;PDLSCs_d_12 MaxLFQ Intensity;PDLSCs_d_16 MaxLFQ Intensity;PDLSCs_d_23 MaxLFQ Intensity;PDLSCs_d_38 MaxLFQ Intensity
KV37_HUMAN;IGKV3-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
KV228_HUMAN;IGKV2-28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
KVD11_HUMAN;IGKV3D-11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GAL3B_HUMAN;GATD3B;52802.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SRCRL_HUMAN;SSC5D;77778.96;203248.06;132431.2;140640.4;218275.42;119909.46;171083.64;72266.3
SPD2B_HUMAN;SH3PXD2B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP37C_HUMAN;VPS37C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MP3B2_HUMAN;MAP1LC3B2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PGP_HUMAN;PGP;67312.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CAST2_HUMAN;CASTOR2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
WASH1_HUMAN;WASHC1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RUXGL_HUMAN;SNRPGP15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ISM1_HUMAN;ISM1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HNRC2_HUMAN;HNRNPCL2;250416.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIFCL_HUMAN;EIF3CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IGLL5_HUMAN;IGLL5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NACAM_HUMAN;NACA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNS2A_HUMAN;DNASE2;283506.8;343724.22;427193.72;177668.31;292655.94;305930.9;279092.72;459181.0
DX39A_HUMAN;DDX39A;144043.12;78494.56;0.0;0.0;0.0;0.0;0.0;0.0
PDLI1_HUMAN;PDLIM1;107591.016;0.0;0.0;0.0;0.0;0.0;147598.34;89001.98
BACH_HUMAN;ACOT7;89450.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MYO1C_HUMAN;MYO1C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SNP23_HUMAN;SNAP23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AIP_HUMAN;AIP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STXB3_HUMAN;STXBP3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AP3B1_HUMAN;AP3B1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LEG8_HUMAN;LGALS8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSD11_HUMAN;PSMD11;118639.62;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSD12_HUMAN;PSMD12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSMD9_HUMAN;PSMD9;82089.016;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ATOX1_HUMAN;ATOX1;120750.85;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PGRC1_HUMAN;PGRMC1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DFFA_HUMAN;DFFA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HIP1_HUMAN;HIP1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CLIC1_HUMAN;CLIC1;314940.3;0.0;157784.8;0.0;0.0;153500.52;255633.31;291796.06
TR11B_HUMAN;TNFRSF11B;193146.97;291487.8;172799.61;172020.6;148491.38;0.0;206518.88;0.0
EIF3F_HUMAN;EIF3F;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MATN2_HUMAN;MATN2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
QSOX1_HUMAN;QSOX1;2584179.5;2107486.8;1863296.6;2566613.5;784317.1;1121441.0;1021170.94;1535422.2
IPO5_HUMAN;IPO5;62360.055;0.0;0.0;0.0;0.0;0.0;0.0;59398.754
SAP18_HUMAN;SAP18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EMAL1_HUMAN;EML1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IF2B3_HUMAN;IGF2BP3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNM1L_HUMAN;DNM1L;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RTCA_HUMAN;RTCA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GOLI4_HUMAN;GOLIM4;73814.77;0.0;107286.06;153220.53;89452.055;97261.39;0.0;134174.88
MANBA_HUMAN;MANBA;109027.71;258292.97;186753.67;178611.94;198427.73;107649.195;278874.78;144762.2
AGRIN_HUMAN;AGRN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HMGN4_HUMAN;HMGN4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSDE_HUMAN;PSMD14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BIN1_HUMAN;BIN1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IMA4_HUMAN;KPNA3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VMA5A_HUMAN;VWA5A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SDCB1_HUMAN;SDCBP;279965.1;246408.77;461805.03;195917.16;151031.72;112574.74;208522.31;157577.56
MPP10_HUMAN;MPHOSPH10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
