Protein.ID;Gene;Umb_c_1002 MaxLFQ Intensity;Umb_c_11 MaxLFQ Intensity;Umb_c_203 MaxLFQ Intensity;Umb_c_62 MaxLFQ Intensity;Umb_d_1002 MaxLFQ Intensity;Umb_d_11 MaxLFQ Intensity;Umb_d_203 MaxLFQ Intensity;Umb_d_62 MaxLFQ Intensity
KV37_HUMAN;IGKV3-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
KV228_HUMAN;IGKV2-28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
KVD11_HUMAN;IGKV3D-11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GAL3B_HUMAN;GATD3B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SRCRL_HUMAN;SSC5D;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SPD2B_HUMAN;SH3PXD2B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VP37C_HUMAN;VPS37C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MP3B2_HUMAN;MAP1LC3B2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PGP_HUMAN;PGP;0.0;0.0;51629.176;0.0;0.0;0.0;68320.69;0.0
CAST2_HUMAN;CASTOR2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
WASH1_HUMAN;WASHC1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RUXGL_HUMAN;SNRPGP15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ISM1_HUMAN;ISM1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HNRC2_HUMAN;HNRNPCL2;160441.98;109108.73;0.0;0.0;0.0;0.0;0.0;0.0
EIFCL_HUMAN;EIF3CL;53197.035;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IGLL5_HUMAN;IGLL5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NACAM_HUMAN;NACA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNS2A_HUMAN;DNASE2;198178.12;463307.94;306124.44;512026.28;223282.1;349999.38;230875.86;328679.75
DX39A_HUMAN;DDX39A;112178.94;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PDLI1_HUMAN;PDLIM1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53810.152
BACH_HUMAN;ACOT7;0.0;0.0;0.0;0.0;0.0;0.0;45711.574;54568.953
MYO1C_HUMAN;MYO1C;0.0;68044.97;0.0;0.0;0.0;0.0;0.0;0.0
SNP23_HUMAN;SNAP23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AIP_HUMAN;AIP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
STXB3_HUMAN;STXBP3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AP3B1_HUMAN;AP3B1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LEG8_HUMAN;LGALS8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSD11_HUMAN;PSMD11;0.0;206880.73;0.0;164901.73;0.0;0.0;138627.47;134566.72
PSD12_HUMAN;PSMD12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSMD9_HUMAN;PSMD9;57027.996;0.0;0.0;0.0;0.0;0.0;57579.535;0.0
ATOX1_HUMAN;ATOX1;0.0;74219.97;97264.9;0.0;78159.47;0.0;111625.32;0.0
PGRC1_HUMAN;PGRMC1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DFFA_HUMAN;DFFA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HIP1_HUMAN;HIP1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CLIC1_HUMAN;CLIC1;234904.81;191241.14;119131.16;168753.16;0.0;0.0;157801.27;213026.94
TR11B_HUMAN;TNFRSF11B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EIF3F_HUMAN;EIF3F;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MATN2_HUMAN;MATN2;55756.777;111627.836;0.0;69904.336;192292.2;55907.285;0.0;66108.15
QSOX1_HUMAN;QSOX1;1292331.6;1278541.9;671428.25;1451327.0;825300.4;926664.9;1637792.1;2579419.8
IPO5_HUMAN;IPO5;64993.95;0.0;0.0;63368.1;0.0;0.0;36239.355;36115.742
SAP18_HUMAN;SAP18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EMAL1_HUMAN;EML1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IF2B3_HUMAN;IGF2BP3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DNM1L_HUMAN;DNM1L;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RTCA_HUMAN;RTCA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GOLI4_HUMAN;GOLIM4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANBA_HUMAN;MANBA;375949.2;330020.9;208825.67;316213.16;206876.23;330245.94;177568.69;465692.12
AGRIN_HUMAN;AGRN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HMGN4_HUMAN;HMGN4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PSDE_HUMAN;PSMD14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BIN1_HUMAN;BIN1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IMA4_HUMAN;KPNA3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VMA5A_HUMAN;VWA5A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SDCB1_HUMAN;SDCBP;148003.38;170430.55;152928.86;137402.11;178268.2;119235.055;130205.43;0.0
MPP10_HUMAN;MPHOSPH10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DDX3X_HUMAN;DDX3X;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
